domain,company,vertical,industry_raw,region,source,list_year
spinintech.com,Spin Up,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
evolutiongroup.digital,Evolution Adv,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
myappfree.com,MyAppFree,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
ysocorp.com,YSO CORP,services_other,Media,eu,ft1000_wayback:20220301043147,2022
nextory.com,Nextory,services_other,Media,eu,ft1000_wayback:20220301043147,2022
adpone.com,Adpone,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
amillionads.com,A Million Ads,services_other,Advertising,uk,ft1000_wayback:20220301043147,2022
instilla.it,Instilla,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
nationalpicnicweek.co.uk,Picnic,services_other,Advertising,uk,ft1000_wayback:20220301043147,2022
chefincamicia.com,Chef in Camicia,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
projectagora.com,Project Agora,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
bettertrust.com,BETTERTRUST,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
billiondollarboy.com,Billion Dollar Boy,services_other,Advertising,uk,ft1000_wayback:20220301043147,2022
digital-masters.de,Digital Masters,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
mubi.com,MUBI,services_other,Media,uk,ft1000_wayback:20220301043147,2022
samy.com,Samy Road,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
fillupmedia.fr,Fill Up Média,services_other,Media,eu,ft1000_wayback:20220301043147,2022
stardigitalgroup.com,S.T.A.R. Digital,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
obiz-concept.fr,Obiz,services_other,Media,eu,ft1000_wayback:20220301043147,2022
legimi.com,Legimi,services_other,Media,eu,ft1000_wayback:20220301043147,2022
audienceserv.com,Audience Serv,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
brandupgroup.com,BrandUp Group,services_other,Advertising,eu,ft1000_wayback:20220301043147,2022
